id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1278179,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,104075,ORANG,2014
36,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2014
37,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,270,ORANG,2014
38,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,118428,ORANG,2014
39,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,30178,ORANG,2014
40,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2014
41,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1050,ORANG,2014
42,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1354722,ORANG,2014
43,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2014
44,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2014
45,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,7812,ORANG,2014
46,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,1864273,ORANG,2014
47,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0,ORANG,2014
48,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0,ORANG,2014
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,267044,ORANG,2014
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,21921,ORANG,2014
51,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2014
52,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,6166,ORANG,2014
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,228913,ORANG,2015
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4092150,ORANG,2015
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,636,ORANG,2015
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,771,ORANG,2015
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,62101,ORANG,2015
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2015
61,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4334,ORANG,2015
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1874222,ORANG,2015
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,7638,ORANG,2015
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1470613,ORANG,2015
65,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,7,ORANG,2015
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,169696,ORANG,2015
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,116,ORANG,2015
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1189102,ORANG,2015
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2015
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2015
71,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2015
72,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,71353,ORANG,2015
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,9884,ORANG,2015
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,503212,ORANG,2015
75,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2015
76,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,498362,ORANG,2015
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,170274,ORANG,2015
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3227988,ORANG,2015
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,973,ORANG,2015
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,996268,ORANG,2015
81,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,499,ORANG,2015
82,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,4306641,ORANG,2015
83,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2015
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2015
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2015
86,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1278179,ORANG,2015
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2015
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2015
89,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,104075,ORANG,2015
90,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2015
91,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,3266,ORANG,2015
92,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,82316,ORANG,2015
93,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,30178,ORANG,2015
94,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2015
95,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1050,ORANG,2015
96,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1354722,ORANG,2015
97,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2015
98,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2015
99,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,7812,ORANG,2015
100,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,1864273,ORANG,2015
101,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,565,ORANG,2015
102,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,1195,ORANG,2015
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,25,ORANG,2015
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,267062,ORANG,2015
105,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2015
106,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,4364,ORANG,2015
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,228913,ORANG,2016
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4955079,ORANG,2016
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,12100,ORANG,2016
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,212095,ORANG,2016
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,867000,ORANG,2016
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2016
115,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4983,ORANG,2016
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,671858,ORANG,2016
117,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1362,ORANG,2016
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,505570,ORANG,2016
119,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2016
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,126022,ORANG,2016
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,116,ORANG,2016
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1189102,ORANG,2016
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2016
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,644224,ORANG,2016
125,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1500,ORANG,2016
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,443001,ORANG,2016
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,18637,ORANG,2016
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,992315,ORANG,2016
129,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2016
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,111703,ORANG,2016
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,748972,ORANG,2016
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3477300,ORANG,2016
133,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,2782,ORANG,2016
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,1957194,ORANG,2016
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,649,ORANG,2016
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,4574411,ORANG,2016
137,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2016
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2016
139,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2016
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1289657,ORANG,2016
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,10344,ORANG,2016
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,1824367,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,13217,ORANG,2016
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2016
145,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,3266,ORANG,2016
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,82316,ORANG,2016
147,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,432271,ORANG,2016
148,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2016
149,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1423,ORANG,2016
150,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1354722,ORANG,2016
151,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2016
152,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2016
153,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,7812,ORANG,2016
154,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,1864273,ORANG,2016
155,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,339,ORANG,2016
156,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,1968,ORANG,2016
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,25,ORANG,2016
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,302908,ORANG,2016
159,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2016
160,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,50453,ORANG,2016
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,677858,ORANG,2017
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,14008,ORANG,2017
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2167288,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,287190,ORANG,2017
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,3614683,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,578321,ORANG,2017
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,3385860,ORANG,2017
169,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,4934,ORANG,2017
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1650983,ORANG,2017
171,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,703,ORANG,2017
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,325507,ORANG,2017
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,0,ORANG,2017
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,338310,ORANG,2017
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,784,ORANG,2017
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,197822,ORANG,2017
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,0,ORANG,2017
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,108463,ORANG,2017
179,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2017
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,200226,ORANG,2017
181,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,352,ORANG,2017
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,427132,ORANG,2017
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2017
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,318239,ORANG,2017
185,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,4621,ORANG,2017
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,176254,ORANG,2017
187,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,435342,ORANG,2017
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5436456,ORANG,2017
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,6,ORANG,2017
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2017
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2017
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,49740,ORANG,2017
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,480531,ORANG,2017
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,1405920,ORANG,2017
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,8689,ORANG,2017
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,2528273,ORANG,2017
197,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,14670,ORANG,2017
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5875274,ORANG,2017
199,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,3566,ORANG,2017
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,115750,ORANG,2017
201,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,432271,ORANG,2017
202,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,1431290,ORANG,2017
203,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,1494,ORANG,2017
204,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1422458,ORANG,2017
205,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2017
206,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2017
207,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2017
208,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,32000,ORANG,2017
209,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,351,ORANG,2017
210,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,1372,ORANG,2017
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,25,ORANG,2017
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,359174,ORANG,2017
213,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,0,ORANG,2017
214,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,35137,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2018
216,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2172706,ORANG,2018
217,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,8559255,ORANG,2018
218,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,1900000,ORANG,2018
219,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2719174,ORANG,2018
220,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1418679,ORANG,2018
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,1347895,ORANG,2018
222,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,1974591,ORANG,2018
223,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,1187576,ORANG,2018
224,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,230591,ORANG,2018
225,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,428200,ORANG,2018
226,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,789742,ORANG,2018
227,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,3801603,ORANG,2018
228,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,5755896,ORANG,2018
229,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,6390906,ORANG,2018
230,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,45274,ORANG,2018
231,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,13701916,ORANG,2018
232,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3571,ORANG,2018
233,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,6340,ORANG,2018
234,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,116039,ORANG,2018
235,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,2431290,ORANG,2018
236,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,1256644,ORANG,2018
237,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2018
238,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,32112,ORANG,2018
239,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,12224,ORANG,2018
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,82329,ORANG,2018
241,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,35225,ORANG,2018
242,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,26264,ORANG,2019
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,2670203,ORANG,2019
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,10500,ORANG,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,153733,ORANG,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,172140,ORANG,2019
247,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,4312047,ORANG,2019
248,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,4506,ORANG,2019
249,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,2485755,ORANG,2019
250,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,1275,ORANG,2019
251,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2850534,ORANG,2019
252,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,3075,ORANG,2019
253,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,1446239,ORANG,2019
254,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,35,ORANG,2019
255,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,697782,ORANG,2019
256,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,15,ORANG,2019
257,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,358896,ORANG,2019
258,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,15,ORANG,2019
259,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,260342,ORANG,2019
260,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,1548,ORANG,2019
261,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,699787,ORANG,2019
262,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2019
263,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,175945,ORANG,2019
264,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,37,ORANG,2019
265,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,1430035,ORANG,2019
266,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,0,ORANG,2019
267,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1080895,ORANG,2019
268,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,713,ORANG,2019
269,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,2080581,ORANG,2019
270,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,1126,ORANG,2019
271,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,9452760,ORANG,2019
272,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,3,ORANG,2019
273,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,11679,ORANG,2019
274,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,100339,ORANG,2019
275,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,5339819,ORANG,2019
276,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,12233,ORANG,2019
277,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3215063,ORANG,2019
278,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,207363,ORANG,2019
279,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,3749069,ORANG,2019
280,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,0,ORANG,2019
281,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,0,ORANG,2019
282,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0,ORANG,2019
